,Rating,Description,no_contract,rating_description_str,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
189,5,Nice,['Nice'],Nice,['Nice'],['nice'],['nice'],['nice'],"[('nice', 'JJ')]","[('nice', 'a')]",['nice']
190,4,Nice 👍,"['Nice', '👍']",Nice 👍,"['Nice', '👍']","['nice', '👍']","['nice', '👍']","['nice', '👍']","[('nice', 'JJ'), ('👍', 'NN')]","[('nice', 'a'), ('👍', 'n')]","['nice', '👍']"
191,4,Good Phone.,"['Good', 'Phone.']",Good Phone.,"['Good', 'Phone', '.']","['good', 'phone', '.']","['good', 'phone']","['good', 'phone']","[('good', 'JJ'), ('phone', 'NN')]","[('good', 'a'), ('phone', 'n')]","['good', 'phone']"
192,3,okk,['okk'],okk,['okk'],['okk'],['okk'],['okk'],"[('okk', 'NN')]","[('okk', 'n')]",['okk']
193,4,Not a good not a bed,"['Not', 'a', 'good', 'not', 'a', 'bed']",Not a good not a bed,"['Not', 'a', 'good', 'not', 'a', 'bed']","['not', 'a', 'good', 'not', 'a', 'bed']","['not', 'a', 'good', 'not', 'a', 'bed']","['good', 'bed']","[('good', 'JJ'), ('bed', 'NN')]","[('good', 'a'), ('bed', 'n')]","['good', 'bed']"
194,5,very good phone,"['very', 'good', 'phone']",very good phone,"['very', 'good', 'phone']","['very', 'good', 'phone']","['very', 'good', 'phone']","['good', 'phone']","[('good', 'JJ'), ('phone', 'NN')]","[('good', 'a'), ('phone', 'n')]","['good', 'phone']"
195,3,infinix Note 7 not  a Good Phone and only average mobile. Camera pictures are very Bad Quality.,"['infinix', 'Note', '7', 'not', 'a', 'Good', 'Phone', 'and', 'only', 'average', 'mobile.', 'Camera', 'pictures', 'are', 'very', 'Bad', 'Quality.']",infinix Note 7 not a Good Phone and only average mobile. Camera pictures are very Bad Quality.,"['infinix', 'Note', '7', 'not', 'a', 'Good', 'Phone', 'and', 'only', 'average', 'mobile', '.', 'Camera', 'pictures', 'are', 'very', 'Bad', 'Quality', '.']","['infinix', 'note', '7', 'not', 'a', 'good', 'phone', 'and', 'only', 'average', 'mobile', '.', 'camera', 'pictures', 'are', 'very', 'bad', 'quality', '.']","['infinix', 'note', '7', 'not', 'a', 'good', 'phone', 'and', 'only', 'average', 'mobile', 'camera', 'pictures', 'are', 'very', 'bad', 'quality']","['infinix', 'note', '7', 'good', 'phone', 'average', 'mobile', 'camera', 'pictures', 'bad', 'quality']","[('infinix', 'JJ'), ('note', 'NN'), ('7', 'CD'), ('good', 'JJ'), ('phone', 'NN'), ('average', 'NN'), ('mobile', 'JJ'), ('camera', 'NN'), ('pictures', 'VBZ'), ('bad', 'JJ'), ('quality', 'NN')]","[('infinix', 'a'), ('note', 'n'), ('7', 'n'), ('good', 'a'), ('phone', 'n'), ('average', 'n'), ('mobile', 'a'), ('camera', 'n'), ('pictures', 'v'), ('bad', 'a'), ('quality', 'n')]","['infinix', 'note', '7', 'good', 'phone', 'average', 'mobile', 'camera', 'picture', 'bad', 'quality']"
196,5,Good phone,"['Good', 'phone']",Good phone,"['Good', 'phone']","['good', 'phone']","['good', 'phone']","['good', 'phone']","[('good', 'JJ'), ('phone', 'NN')]","[('good', 'a'), ('phone', 'n')]","['good', 'phone']"
197,5,ok,['ok'],ok,['ok'],['ok'],['ok'],['ok'],"[('ok', 'NN')]","[('ok', 'n')]",['ok']
198,4,Very nice product,"['Very', 'nice', 'product']",Very nice product,"['Very', 'nice', 'product']","['very', 'nice', 'product']","['very', 'nice', 'product']","['nice', 'product']","[('nice', 'JJ'), ('product', 'NN')]","[('nice', 'a'), ('product', 'n')]","['nice', 'product']"
199,4,Good phone,"['Good', 'phone']",Good phone,"['Good', 'phone']","['good', 'phone']","['good', 'phone']","['good', 'phone']","[('good', 'JJ'), ('phone', 'NN')]","[('good', 'a'), ('phone', 'n')]","['good', 'phone']"
200,3,Nyc,['Nyc'],Nyc,['Nyc'],['nyc'],['nyc'],['nyc'],"[('nyc', 'NN')]","[('nyc', 'n')]",['nyc']
201,5,Good mobile,"['Good', 'mobile']",Good mobile,"['Good', 'mobile']","['good', 'mobile']","['good', 'mobile']","['good', 'mobile']","[('good', 'JJ'), ('mobile', 'NN')]","[('good', 'a'), ('mobile', 'n')]","['good', 'mobile']"
202,3,Not good,"['Not', 'good']",Not good,"['Not', 'good']","['not', 'good']","['not', 'good']",['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
203,3,Worth for Money,"['Worth', 'for', 'Money']",Worth for Money,"['Worth', 'for', 'Money']","['worth', 'for', 'money']","['worth', 'for', 'money']","['worth', 'money']","[('worth', 'JJ'), ('money', 'NN')]","[('worth', 'a'), ('money', 'n')]","['worth', 'money']"
204,5,India's no 1 budget fone,"[""India's"", 'no', '1', 'budget', 'fone']",India's no 1 budget fone,"['India', ""'s"", 'no', '1', 'budget', 'fone']","['india', ""'s"", 'no', '1', 'budget', 'fone']","['india', ""'s"", 'no', '1', 'budget', 'fone']","['india', ""'s"", '1', 'budget', 'fone']","[('india', 'NN'), (""'s"", 'POS'), ('1', 'CD'), ('budget', 'NN'), ('fone', 'NN')]","[('india', 'n'), (""'s"", 'n'), ('1', 'n'), ('budget', 'n'), ('fone', 'n')]","['india', ""'s"", '1', 'budget', 'fone']"
205,5,I am vary happy for buy this phone,"['I', 'am', 'vary', 'happy', 'for', 'buy', 'this', 'phone']",I am vary happy for buy this phone,"['I', 'am', 'vary', 'happy', 'for', 'buy', 'this', 'phone']","['i', 'am', 'vary', 'happy', 'for', 'buy', 'this', 'phone']","['i', 'am', 'vary', 'happy', 'for', 'buy', 'this', 'phone']","['vary', 'happy', 'buy', 'phone']","[('vary', 'NN'), ('happy', 'JJ'), ('buy', 'NN'), ('phone', 'NN')]","[('vary', 'n'), ('happy', 'a'), ('buy', 'n'), ('phone', 'n')]","['vary', 'happy', 'buy', 'phone']"
206,4,Beautiful Surrounding sound....first time in mobile....Over all love it,"['Beautiful', 'Surrounding', 'sound....first', 'time', 'in', 'mobile....Over', 'all', 'love', 'it']",Beautiful Surrounding sound....first time in mobile....Over all love it,"['Beautiful', 'Surrounding', 'sound', '...', '.first', 'time', 'in', 'mobile', '...', '.Over', 'all', 'love', 'it']","['beautiful', 'surrounding', 'sound', '...', '.first', 'time', 'in', 'mobile', '...', '.over', 'all', 'love', 'it']","['beautiful', 'surrounding', 'sound', '...', '.first', 'time', 'in', 'mobile', '...', '.over', 'all', 'love', 'it']","['beautiful', 'surrounding', 'sound', '...', '.first', 'time', 'mobile', '...', '.over', 'love']","[('beautiful', 'JJ'), ('surrounding', 'VBG'), ('sound', 'NN'), ('...', ':'), ('.first', 'JJ'), ('time', 'NN'), ('mobile', 'NN'), ('...', ':'), ('.over', 'RB'), ('love', 'VB')]","[('beautiful', 'a'), ('surrounding', 'v'), ('sound', 'n'), ('...', 'n'), ('.first', 'a'), ('time', 'n'), ('mobile', 'n'), ('...', 'n'), ('.over', 'r'), ('love', 'v')]","['beautiful', 'surround', 'sound', '...', '.first', 'time', 'mobile', '...', '.over', 'love']"
207,5,It is a good product and good quality of camera and display it is a very good performance,"['It', 'is', 'a', 'good', 'product', 'and', 'good', 'quality', 'of', 'camera', 'and', 'display', 'it', 'is', 'a', 'very', 'good', 'performance']",It is a good product and good quality of camera and display it is a very good performance,"['It', 'is', 'a', 'good', 'product', 'and', 'good', 'quality', 'of', 'camera', 'and', 'display', 'it', 'is', 'a', 'very', 'good', 'performance']","['it', 'is', 'a', 'good', 'product', 'and', 'good', 'quality', 'of', 'camera', 'and', 'display', 'it', 'is', 'a', 'very', 'good', 'performance']","['it', 'is', 'a', 'good', 'product', 'and', 'good', 'quality', 'of', 'camera', 'and', 'display', 'it', 'is', 'a', 'very', 'good', 'performance']","['good', 'product', 'good', 'quality', 'camera', 'display', 'good', 'performance']","[('good', 'JJ'), ('product', 'NN'), ('good', 'JJ'), ('quality', 'NN'), ('camera', 'NN'), ('display', 'NN'), ('good', 'JJ'), ('performance', 'NN')]","[('good', 'a'), ('product', 'n'), ('good', 'a'), ('quality', 'n'), ('camera', 'n'), ('display', 'n'), ('good', 'a'), ('performance', 'n')]","['good', 'product', 'good', 'quality', 'camera', 'display', 'good', 'performance']"
208,5,Battery Backup Good.Cemara Is Good.Totally Is Too Good,"['Battery', 'Backup', 'Good.Cemara', 'Is', 'Good.Totally', 'Is', 'Too', 'Good']",Battery Backup Good.Cemara Is Good.Totally Is Too Good,"['Battery', 'Backup', 'Good.Cemara', 'Is', 'Good.Totally', 'Is', 'Too', 'Good']","['battery', 'backup', 'good.cemara', 'is', 'good.totally', 'is', 'too', 'good']","['battery', 'backup', 'good.cemara', 'is', 'good.totally', 'is', 'too', 'good']","['battery', 'backup', 'good.cemara', 'good.totally', 'good']","[('battery', 'NN'), ('backup', 'NN'), ('good.cemara', 'NN'), ('good.totally', 'RB'), ('good', 'JJ')]","[('battery', 'n'), ('backup', 'n'), ('good.cemara', 'n'), ('good.totally', 'r'), ('good', 'a')]","['battery', 'backup', 'good.cemara', 'good.totally', 'good']"
209,4,good quality as per price,"['good', 'quality', 'as', 'per', 'price']",good quality as per price,"['good', 'quality', 'as', 'per', 'price']","['good', 'quality', 'as', 'per', 'price']","['good', 'quality', 'as', 'per', 'price']","['good', 'quality', 'per', 'price']","[('good', 'JJ'), ('quality', 'NN'), ('per', 'IN'), ('price', 'NN')]","[('good', 'a'), ('quality', 'n'), ('per', 'n'), ('price', 'n')]","['good', 'quality', 'per', 'price']"
210,5,Amazing,['Amazing'],Amazing,['Amazing'],['amazing'],['amazing'],['amazing'],"[('amazing', 'VBG')]","[('amazing', 'v')]",['amaze']
211,5,not working perfectly,"['not', 'working', 'perfectly']",not working perfectly,"['not', 'working', 'perfectly']","['not', 'working', 'perfectly']","['not', 'working', 'perfectly']","['working', 'perfectly']","[('working', 'VBG'), ('perfectly', 'RB')]","[('working', 'v'), ('perfectly', 'r')]","['work', 'perfectly']"
212,4,Good phone.big display but not full hd. camera just ok.,"['Good', 'phone.big', 'display', 'but', 'not', 'full', 'hd.', 'camera', 'just', 'ok.']",Good phone.big display but not full hd. camera just ok.,"['Good', 'phone.big', 'display', 'but', 'not', 'full', 'hd', '.', 'camera', 'just', 'ok', '.']","['good', 'phone.big', 'display', 'but', 'not', 'full', 'hd', '.', 'camera', 'just', 'ok', '.']","['good', 'phone.big', 'display', 'but', 'not', 'full', 'hd', 'camera', 'just', 'ok']","['good', 'phone.big', 'display', 'full', 'hd', 'camera', 'ok']","[('good', 'JJ'), ('phone.big', 'NN'), ('display', 'NN'), ('full', 'JJ'), ('hd', 'NN'), ('camera', 'NN'), ('ok', 'NN')]","[('good', 'a'), ('phone.big', 'n'), ('display', 'n'), ('full', 'a'), ('hd', 'n'), ('camera', 'n'), ('ok', 'n')]","['good', 'phone.big', 'display', 'full', 'hd', 'camera', 'ok']"
213,5,Good products,"['Good', 'products']",Good products,"['Good', 'products']","['good', 'products']","['good', 'products']","['good', 'products']","[('good', 'JJ'), ('products', 'NNS')]","[('good', 'a'), ('products', 'n')]","['good', 'product']"
214,5,Awesome phone for budget.. camera Quality is good only for outside or daylight photo it is no so good for low light... battery charging is very fast and draining is also a bit slow...no issue of battery...HD support screen...nice for playing games like pubg and so on...,"['Awesome', 'phone', 'for', 'budget..', 'camera', 'Quality', 'is', 'good', 'only', 'for', 'outside', 'or', 'daylight', 'photo', 'it', 'is', 'no', 'so', 'good', 'for', 'low', 'light...', 'battery', 'charging', 'is', 'very', 'fast', 'and', 'draining', 'is', 'also', 'a', 'bit', 'slow...no', 'issue', 'of', 'battery...HD', 'support', 'screen...nice', 'for', 'playing', 'games', 'like', 'pubg', 'and', 'so', 'on...']",Awesome phone for budget.. camera Quality is good only for outside or daylight photo it is no so good for low light... battery charging is very fast and draining is also a bit slow...no issue of battery...HD support screen...nice for playing games like pubg and so on...,"['Awesome', 'phone', 'for', 'budget..', 'camera', 'Quality', 'is', 'good', 'only', 'for', 'outside', 'or', 'daylight', 'photo', 'it', 'is', 'no', 'so', 'good', 'for', 'low', 'light', '...', 'battery', 'charging', 'is', 'very', 'fast', 'and', 'draining', 'is', 'also', 'a', 'bit', 'slow', '...', 'no', 'issue', 'of', 'battery', '...', 'HD', 'support', 'screen', '...', 'nice', 'for', 'playing', 'games', 'like', 'pubg', 'and', 'so', 'on', '...']","['awesome', 'phone', 'for', 'budget..', 'camera', 'quality', 'is', 'good', 'only', 'for', 'outside', 'or', 'daylight', 'photo', 'it', 'is', 'no', 'so', 'good', 'for', 'low', 'light', '...', 'battery', 'charging', 'is', 'very', 'fast', 'and', 'draining', 'is', 'also', 'a', 'bit', 'slow', '...', 'no', 'issue', 'of', 'battery', '...', 'hd', 'support', 'screen', '...', 'nice', 'for', 'playing', 'games', 'like', 'pubg', 'and', 'so', 'on', '...']","['awesome', 'phone', 'for', 'budget..', 'camera', 'quality', 'is', 'good', 'only', 'for', 'outside', 'or', 'daylight', 'photo', 'it', 'is', 'no', 'so', 'good', 'for', 'low', 'light', '...', 'battery', 'charging', 'is', 'very', 'fast', 'and', 'draining', 'is', 'also', 'a', 'bit', 'slow', '...', 'no', 'issue', 'of', 'battery', '...', 'hd', 'support', 'screen', '...', 'nice', 'for', 'playing', 'games', 'like', 'pubg', 'and', 'so', 'on', '...']","['awesome', 'phone', 'budget..', 'camera', 'quality', 'good', 'outside', 'daylight', 'photo', 'good', 'low', 'light', '...', 'battery', 'charging', 'fast', 'draining', 'also', 'bit', 'slow', '...', 'issue', 'battery', '...', 'hd', 'support', 'screen', '...', 'nice', 'playing', 'games', 'like', 'pubg', '...']","[('awesome', 'JJ'), ('phone', 'NN'), ('budget..', 'NN'), ('camera', 'NN'), ('quality', 'NN'), ('good', 'JJ'), ('outside', 'JJ'), ('daylight', 'NN'), ('photo', 'NN'), ('good', 'JJ'), ('low', 'JJ'), ('light', 'NN'), ('...', ':'), ('battery', 'NN'), ('charging', 'VBG'), ('fast', 'RB'), ('draining', 'VBG'), ('also', 'RB'), ('bit', 'RB'), ('slow', 'JJ'), ('...', ':'), ('issue', 'NN'), ('battery', 'NN'), ('...', ':'), ('hd', 'JJ'), ('support', 'NN'), ('screen', 'NN'), ('...', ':'), ('nice', 'JJ'), ('playing', 'VBG'), ('games', 'NNS'), ('like', 'IN'), ('pubg', 'NN'), ('...', ':')]","[('awesome', 'a'), ('phone', 'n'), ('budget..', 'n'), ('camera', 'n'), ('quality', 'n'), ('good', 'a'), ('outside', 'a'), ('daylight', 'n'), ('photo', 'n'), ('good', 'a'), ('low', 'a'), ('light', 'n'), ('...', 'n'), ('battery', 'n'), ('charging', 'v'), ('fast', 'r'), ('draining', 'v'), ('also', 'r'), ('bit', 'r'), ('slow', 'a'), ('...', 'n'), ('issue', 'n'), ('battery', 'n'), ('...', 'n'), ('hd', 'a'), ('support', 'n'), ('screen', 'n'), ('...', 'n'), ('nice', 'a'), ('playing', 'v'), ('games', 'n'), ('like', 'n'), ('pubg', 'n'), ('...', 'n')]","['awesome', 'phone', 'budget..', 'camera', 'quality', 'good', 'outside', 'daylight', 'photo', 'good', 'low', 'light', '...', 'battery', 'charge', 'fast', 'drain', 'also', 'bit', 'slow', '...', 'issue', 'battery', '...', 'hd', 'support', 'screen', '...', 'nice', 'play', 'game', 'like', 'pubg', '...']"
215,4,Good,['Good'],Good,['Good'],['good'],['good'],['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
216,5,Well product,"['Well', 'product']",Well product,"['Well', 'product']","['well', 'product']","['well', 'product']","['well', 'product']","[('well', 'RB'), ('product', 'NN')]","[('well', 'r'), ('product', 'n')]","['well', 'product']"
217,4,Ery good mobile at this price range. Really worth it.,"['Ery', 'good', 'mobile', 'at', 'this', 'price', 'range.', 'Really', 'worth', 'it.']",Ery good mobile at this price range. Really worth it.,"['Ery', 'good', 'mobile', 'at', 'this', 'price', 'range', '.', 'Really', 'worth', 'it', '.']","['ery', 'good', 'mobile', 'at', 'this', 'price', 'range', '.', 'really', 'worth', 'it', '.']","['ery', 'good', 'mobile', 'at', 'this', 'price', 'range', 'really', 'worth', 'it']","['ery', 'good', 'mobile', 'price', 'range', 'really', 'worth']","[('ery', 'RB'), ('good', 'JJ'), ('mobile', 'JJ'), ('price', 'NN'), ('range', 'NN'), ('really', 'RB'), ('worth', 'JJ')]","[('ery', 'r'), ('good', 'a'), ('mobile', 'a'), ('price', 'n'), ('range', 'n'), ('really', 'r'), ('worth', 'a')]","['ery', 'good', 'mobile', 'price', 'range', 'really', 'worth']"
218,5,Phn ko 7 days sa jyda use krne k bd ek hii word vale for money good camera display sound it's all good and don't mind in negative comments,"['Phn', 'ko', '7', 'days', 'sa', 'jyda', 'use', 'krne', 'k', 'bd', 'ek', 'hii', 'word', 'vale', 'for', 'money', 'good', 'camera', 'display', 'sound', 'it is', 'all', 'good', 'and', 'do not', 'mind', 'in', 'negative', 'comments']",Phn ko 7 days sa jyda use krne k bd ek hii word vale for money good camera display sound it is all good and do not mind in negative comments,"['Phn', 'ko', '7', 'days', 'sa', 'jyda', 'use', 'krne', 'k', 'bd', 'ek', 'hii', 'word', 'vale', 'for', 'money', 'good', 'camera', 'display', 'sound', 'it', 'is', 'all', 'good', 'and', 'do', 'not', 'mind', 'in', 'negative', 'comments']","['phn', 'ko', '7', 'days', 'sa', 'jyda', 'use', 'krne', 'k', 'bd', 'ek', 'hii', 'word', 'vale', 'for', 'money', 'good', 'camera', 'display', 'sound', 'it', 'is', 'all', 'good', 'and', 'do', 'not', 'mind', 'in', 'negative', 'comments']","['phn', 'ko', '7', 'days', 'sa', 'jyda', 'use', 'krne', 'k', 'bd', 'ek', 'hii', 'word', 'vale', 'for', 'money', 'good', 'camera', 'display', 'sound', 'it', 'is', 'all', 'good', 'and', 'do', 'not', 'mind', 'in', 'negative', 'comments']","['phn', 'ko', '7', 'days', 'sa', 'jyda', 'use', 'krne', 'k', 'bd', 'ek', 'hii', 'word', 'vale', 'money', 'good', 'camera', 'display', 'sound', 'good', 'mind', 'negative', 'comments']","[('phn', 'NN'), ('ko', 'VBZ'), ('7', 'CD'), ('days', 'NNS'), ('sa', 'RB'), ('jyda', 'VBP'), ('use', 'NN'), ('krne', 'JJ'), ('k', 'NN'), ('bd', 'NN'), ('ek', 'NN'), ('hii', 'NN'), ('word', 'NN'), ('vale', 'NN'), ('money', 'NN'), ('good', 'JJ'), ('camera', 'NN'), ('display', 'NN'), ('sound', 'NN'), ('good', 'JJ'), ('mind', 'NN'), ('negative', 'JJ'), ('comments', 'NNS')]","[('phn', 'n'), ('ko', 'v'), ('7', 'n'), ('days', 'n'), ('sa', 'r'), ('jyda', 'v'), ('use', 'n'), ('krne', 'a'), ('k', 'n'), ('bd', 'n'), ('ek', 'n'), ('hii', 'n'), ('word', 'n'), ('vale', 'n'), ('money', 'n'), ('good', 'a'), ('camera', 'n'), ('display', 'n'), ('sound', 'n'), ('good', 'a'), ('mind', 'n'), ('negative', 'a'), ('comments', 'n')]","['phn', 'ko', '7', 'day', 'sa', 'jyda', 'use', 'krne', 'k', 'bd', 'ek', 'hii', 'word', 'vale', 'money', 'good', 'camera', 'display', 'sound', 'good', 'mind', 'negative', 'comment']"
219,5,Really good mobile in this price,"['Really', 'good', 'mobile', 'in', 'this', 'price']",Really good mobile in this price,"['Really', 'good', 'mobile', 'in', 'this', 'price']","['really', 'good', 'mobile', 'in', 'this', 'price']","['really', 'good', 'mobile', 'in', 'this', 'price']","['really', 'good', 'mobile', 'price']","[('really', 'RB'), ('good', 'JJ'), ('mobile', 'JJ'), ('price', 'NN')]","[('really', 'r'), ('good', 'a'), ('mobile', 'a'), ('price', 'n')]","['really', 'good', 'mobile', 'price']"
220,5,Super,['Super'],Super,['Super'],['super'],['super'],['super'],"[('super', 'NN')]","[('super', 'n')]",['super']
221,5,Ok,['Ok'],Ok,['Ok'],['ok'],['ok'],['ok'],"[('ok', 'NN')]","[('ok', 'n')]",['ok']
222,5,So nice camera phone,"['So', 'nice', 'camera', 'phone']",So nice camera phone,"['So', 'nice', 'camera', 'phone']","['so', 'nice', 'camera', 'phone']","['so', 'nice', 'camera', 'phone']","['nice', 'camera', 'phone']","[('nice', 'JJ'), ('camera', 'NN'), ('phone', 'NN')]","[('nice', 'a'), ('camera', 'n'), ('phone', 'n')]","['nice', 'camera', 'phone']"
223,5,"Totally fine with this phone except revolution this phone just 720,in my opinion it should be at least 1080","['Totally', 'fine', 'with', 'this', 'phone', 'except', 'revolution', 'this', 'phone', 'just', '720,in', 'my', 'opinion', 'it', 'should', 'be', 'at', 'least', '1080']","Totally fine with this phone except revolution this phone just 720,in my opinion it should be at least 1080","['Totally', 'fine', 'with', 'this', 'phone', 'except', 'revolution', 'this', 'phone', 'just', '720', ',', 'in', 'my', 'opinion', 'it', 'should', 'be', 'at', 'least', '1080']","['totally', 'fine', 'with', 'this', 'phone', 'except', 'revolution', 'this', 'phone', 'just', '720', ',', 'in', 'my', 'opinion', 'it', 'should', 'be', 'at', 'least', '1080']","['totally', 'fine', 'with', 'this', 'phone', 'except', 'revolution', 'this', 'phone', 'just', '720', 'in', 'my', 'opinion', 'it', 'should', 'be', 'at', 'least', '1080']","['totally', 'fine', 'phone', 'except', 'revolution', 'phone', '720', 'opinion', 'least', '1080']","[('totally', 'RB'), ('fine', 'JJ'), ('phone', 'NN'), ('except', 'IN'), ('revolution', 'NN'), ('phone', 'NN'), ('720', 'CD'), ('opinion', 'NN'), ('least', 'NN'), ('1080', 'CD')]","[('totally', 'r'), ('fine', 'a'), ('phone', 'n'), ('except', 'n'), ('revolution', 'n'), ('phone', 'n'), ('720', 'n'), ('opinion', 'n'), ('least', 'n'), ('1080', 'n')]","['totally', 'fine', 'phone', 'except', 'revolution', 'phone', '720', 'opinion', 'least', '1080']"
224,1,This mobile is good camera os not good,"['This', 'mobile', 'is', 'good', 'camera', 'os', 'not', 'good']",This mobile is good camera os not good,"['This', 'mobile', 'is', 'good', 'camera', 'os', 'not', 'good']","['this', 'mobile', 'is', 'good', 'camera', 'os', 'not', 'good']","['this', 'mobile', 'is', 'good', 'camera', 'os', 'not', 'good']","['mobile', 'good', 'camera', 'os', 'good']","[('mobile', 'RB'), ('good', 'JJ'), ('camera', 'NN'), ('os', 'NN'), ('good', 'JJ')]","[('mobile', 'r'), ('good', 'a'), ('camera', 'n'), ('os', 'n'), ('good', 'a')]","['mobile', 'good', 'camera', 'o', 'good']"
225,5,To good,"['To', 'good']",To good,"['To', 'good']","['to', 'good']","['to', 'good']",['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
226,4,Best phone n great delivery thanks,"['Best', 'phone', 'n', 'great', 'delivery', 'thanks']",Best phone n great delivery thanks,"['Best', 'phone', 'n', 'great', 'delivery', 'thanks']","['best', 'phone', 'n', 'great', 'delivery', 'thanks']","['best', 'phone', 'n', 'great', 'delivery', 'thanks']","['best', 'phone', 'n', 'great', 'delivery', 'thanks']","[('best', 'JJS'), ('phone', 'NN'), ('n', 'RB'), ('great', 'JJ'), ('delivery', 'NN'), ('thanks', 'NNS')]","[('best', 'a'), ('phone', 'n'), ('n', 'r'), ('great', 'a'), ('delivery', 'n'), ('thanks', 'n')]","['best', 'phone', 'n', 'great', 'delivery', 'thanks']"
227,3,Super se uper,"['Super', 'se', 'uper']",Super se uper,"['Super', 'se', 'uper']","['super', 'se', 'uper']","['super', 'se', 'uper']","['super', 'se', 'uper']","[('super', 'JJ'), ('se', 'NN'), ('uper', 'NN')]","[('super', 'a'), ('se', 'n'), ('uper', 'n')]","['super', 'se', 'uper']"
228,4,Nice i love it,"['Nice', 'i', 'love', 'it']",Nice i love it,"['Nice', 'i', 'love', 'it']","['nice', 'i', 'love', 'it']","['nice', 'i', 'love', 'it']","['nice', 'love']","[('nice', 'JJ'), ('love', 'NN')]","[('nice', 'a'), ('love', 'n')]","['nice', 'love']"
229,1,"Sound not good,no DTS work,no bass sound in headfones","['Sound', 'not', 'good,no', 'DTS', 'work,no', 'bass', 'sound', 'in', 'headfones']","Sound not good,no DTS work,no bass sound in headfones","['Sound', 'not', 'good', ',', 'no', 'DTS', 'work', ',', 'no', 'bass', 'sound', 'in', 'headfones']","['sound', 'not', 'good', ',', 'no', 'dts', 'work', ',', 'no', 'bass', 'sound', 'in', 'headfones']","['sound', 'not', 'good', 'no', 'dts', 'work', 'no', 'bass', 'sound', 'in', 'headfones']","['sound', 'good', 'dts', 'work', 'bass', 'sound', 'headfones']","[('sound', 'RB'), ('good', 'JJ'), ('dts', 'NN'), ('work', 'NN'), ('bass', 'NN'), ('sound', 'NN'), ('headfones', 'NNS')]","[('sound', 'r'), ('good', 'a'), ('dts', 'n'), ('work', 'n'), ('bass', 'n'), ('sound', 'n'), ('headfones', 'n')]","['sound', 'good', 'dts', 'work', 'bass', 'sound', 'headfones']"
230,5,Super,['Super'],Super,['Super'],['super'],['super'],['super'],"[('super', 'NN')]","[('super', 'n')]",['super']
231,5,Ok,['Ok'],Ok,['Ok'],['ok'],['ok'],['ok'],"[('ok', 'NN')]","[('ok', 'n')]",['ok']
232,5,So nice camera phone,"['So', 'nice', 'camera', 'phone']",So nice camera phone,"['So', 'nice', 'camera', 'phone']","['so', 'nice', 'camera', 'phone']","['so', 'nice', 'camera', 'phone']","['nice', 'camera', 'phone']","[('nice', 'JJ'), ('camera', 'NN'), ('phone', 'NN')]","[('nice', 'a'), ('camera', 'n'), ('phone', 'n')]","['nice', 'camera', 'phone']"
233,5,"Totally fine with this phone except revolution this phone just 720,in my opinion it should be at least 1080","['Totally', 'fine', 'with', 'this', 'phone', 'except', 'revolution', 'this', 'phone', 'just', '720,in', 'my', 'opinion', 'it', 'should', 'be', 'at', 'least', '1080']","Totally fine with this phone except revolution this phone just 720,in my opinion it should be at least 1080","['Totally', 'fine', 'with', 'this', 'phone', 'except', 'revolution', 'this', 'phone', 'just', '720', ',', 'in', 'my', 'opinion', 'it', 'should', 'be', 'at', 'least', '1080']","['totally', 'fine', 'with', 'this', 'phone', 'except', 'revolution', 'this', 'phone', 'just', '720', ',', 'in', 'my', 'opinion', 'it', 'should', 'be', 'at', 'least', '1080']","['totally', 'fine', 'with', 'this', 'phone', 'except', 'revolution', 'this', 'phone', 'just', '720', 'in', 'my', 'opinion', 'it', 'should', 'be', 'at', 'least', '1080']","['totally', 'fine', 'phone', 'except', 'revolution', 'phone', '720', 'opinion', 'least', '1080']","[('totally', 'RB'), ('fine', 'JJ'), ('phone', 'NN'), ('except', 'IN'), ('revolution', 'NN'), ('phone', 'NN'), ('720', 'CD'), ('opinion', 'NN'), ('least', 'NN'), ('1080', 'CD')]","[('totally', 'r'), ('fine', 'a'), ('phone', 'n'), ('except', 'n'), ('revolution', 'n'), ('phone', 'n'), ('720', 'n'), ('opinion', 'n'), ('least', 'n'), ('1080', 'n')]","['totally', 'fine', 'phone', 'except', 'revolution', 'phone', '720', 'opinion', 'least', '1080']"
234,1,This mobile is good camera os not good,"['This', 'mobile', 'is', 'good', 'camera', 'os', 'not', 'good']",This mobile is good camera os not good,"['This', 'mobile', 'is', 'good', 'camera', 'os', 'not', 'good']","['this', 'mobile', 'is', 'good', 'camera', 'os', 'not', 'good']","['this', 'mobile', 'is', 'good', 'camera', 'os', 'not', 'good']","['mobile', 'good', 'camera', 'os', 'good']","[('mobile', 'RB'), ('good', 'JJ'), ('camera', 'NN'), ('os', 'NN'), ('good', 'JJ')]","[('mobile', 'r'), ('good', 'a'), ('camera', 'n'), ('os', 'n'), ('good', 'a')]","['mobile', 'good', 'camera', 'o', 'good']"
235,5,To good,"['To', 'good']",To good,"['To', 'good']","['to', 'good']","['to', 'good']",['good'],"[('good', 'JJ')]","[('good', 'a')]",['good']
